name,address,city,state,zip,full_address,farm_type,produce,phone,website,distance,hours
Anderson Orchards,225 1st St NE,Rudyard,MT,,"225 1st St NE, Rudyard, Montana 59540","U-Pick Farm, Orchard",Apples,,,,
Angelic Gardens,6200 11th Ave SE,Minot,ND,,"6200 11th Ave SE, Minot, North Dakota 58701","U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Ann’s Greenhouse,780-Sheep Creek Road,Fairbanks,AK,,"780-Sheep Creek Road, Fairbanks, Alaska 99709","U-Pick Farm, Orchard","Raspberries, Strawberries, Vegetables",,,,
Anthea’s Gardens,6438 Fenton Rd.,Flint,MI,48507,"6438 Fenton Rd., Flint, MI 48507","Christmas TreesCorn MazeFarm MarketHoney BeesPetting ZooPicnic AreaSchool Field TripsU-Pick Farm, OrchardWedding VenueWinery",Squash,,,,
Apple Annie’s Orchard,2081 W Hardy Rd,Willcox,AZ,,"2081 W Hardy Rd, Willcox, Arizona 85643","U-Pick Farm, Orchard","Apples, Peaches, Pears",,,,
Apple Barn & Country Bake Shop,604 US Rt 7S,Bennington,VT,,"604 US Rt 7S, Bennington, Vermont 05201","U-Pick Farm, Orchard","Blackberries, Blueberries, Raspberries, Strawberries",,,,
Apple Blossom Orchard,2581 Wilder Rd.,Midland,MI,,"2581 Wilder Rd., Midland, Michigan 48642",Pre-Picked Only,Ready Picked Only,,,,
Apple Creek Orchards,5367 Barr Road,Ferdale,WA,,"5367 Barr Road, Ferdale, Washington 98248","U-Pick Farm, Orchard",Apples,,,,
Apple Hill Orchard,2075 Pleasant Hill Avenue,Morganton,NC,,"2075 Pleasant Hill Avenue, Morganton, North Carolina 28655","U-Pick Farm, Orchard",Apples,,,,
Apple Hill Orchard,2952 Carson Rd,Placerville,CA,,"2952 Carson Rd, Placerville, California 95667","U-Pick Farm, Orchard",Apples,,,,
Apple Holler,5006 S Sylvania Ave,Sturtevant,WI,,"5006 S Sylvania Ave, Sturtevant, Wisconsin 53177","U-Pick Farm, Orchard","Apples, Peaches, Pears, Pumpkins",,,,
Apple Jack Orchards,4875 37th St SE,Delano,MN,,"4875 37th St SE, Delano, Minnesota 55328","U-Pick Farm, Orchard","Apples, Raspberries",,,,
Apple Starr Orchard,1020 Julian Orchard Drive,Julian,CA,,"1020 Julian Orchard Drive, Julian, California 92036","U-Pick Farm, Orchard","Apples, Pears",,,,
Apple Valley Orchard,1670 Mar-El Road,De Pere,WI,,"1670 Mar-El Road, De Pere, Wisconsin 54115","U-Pick Farm, Orchard",Apples,,,,
Apple Valley Orchard,6480 Davis Rd.,Saginaw,MI,,"6480 Davis Rd., Saginaw, Michigan 48604",Pre-Picked Only,Ready Picked Only,,,,
Appleberry Farm,8079 Maurer Road,Cross Plains,WI,,"8079 Maurer Road, Cross Plains, Wisconsin 53528","U-Pick Farm, Orchard","Apples, Raspberries, Strawberries",,,,
Applecrest Farm Orchards,133 Exeter Rd,Hampton Falls,NH,03844,"133 Exeter Rd, Hampton Falls, NH 03844","U-Pick Farm, Orchard",Raspberries,,,,
Appleland Orchard,135 Smith Ave,Greenville,RI,,"135 Smith Ave, Greenville, Rhode Island 02828","U-Pick Farm, Orchard","Apples, Peaches",,,,
Applewood Orchard,22702 Hamburg Ave,Lakeville,MN,,"22702 Hamburg Ave, Lakeville, Minnesota 55044","U-Pick Farm, Orchard","Apples, Pumpkins, Raspberries",,,,
Arnold’s Strawberries,,,,,,"U-Pick Farm, Orchard",Strawberries,,,,
Ashland Produce,,,,,,"U-Pick Farm, Orchard","Green Beans, Peas",,,,
Aufdenkampe Family Farm,3275 N Ridge Road,Vermilion,OH,,"3275 N Ridge Road, Vermilion, Ohio 44089","U-Pick Farm, Orchard",Strawberries,,,,
Augusta Blueberries,27020 E Branch Road,Fairfield,WI,,"27020 E Branch Road, Fairfield, Wisconsin 54741","U-Pick Farm, Orchard",Blueberries,,,,
Aunt Zelma’s Blueberries,,,,,,"U-Pick Farm, Orchard",Blueberries,,,,
Averill Farm,250 Calhoun St,Washington Depot,CT,06794,"250 Calhoun St, Washington Depot, CT 06794","U-Pick Farm, Orchard","Apples, Pears",,,,
B.J. Reece Orchards,9131 Highway 52,East Ellijay,GA,,"9131 Highway 52, East Ellijay, Georgia 30536","U-Pick Farm, Orchard",Apples,,,,
Babb Blueberry Farm,2751 Highway 50,Beaufort,MO,,"2751 Highway 50, Beaufort, Missouri 63013","U-Pick Farm, Orchard",Blueberries,,,,
Baldwin Blueberries,27608 County Rd 65,Loxley,AL,36551,"27608 County Rd 65, Loxley, AL 36551","U-Pick Farm, Orchard",Blueberries,,,,
Barefoot Farms of Belton,293 Murphy Road,Belton,SC,,"293 Murphy Road, Belton, South Carolina 29627","U-Pick Farm, Orchard","Blackberries, Herbs, Vegetables",,,,
Barnes Sweet Cherries,,,,,,"U-Pick Farm, Orchard",Cherries,,,,
Barrett Orchards,1209 Pecks Canyon Rd,Yakima,WA,,"1209 Pecks Canyon Rd, Yakima, Washington 98908","U-Pick Farm, Orchard","Apples, Cherries",,,,
Barthel Fruit Farm,12246 N Farmdale Road,Mequon,WI,,"12246 N Farmdale Road, Mequon, Wisconsin 53097","U-Pick Farm, Orchard","Apples, Pumpkins, Strawberries",,,,
Basse’s Taste of Country Farm,,,,,,"U-Pick Farm, Orchard","Apples, Raspberries, Strawberries",,,,
Battleview Orchards,91 Wemrock Rd,Freehold,NJ,,"91 Wemrock Rd, Freehold, New Jersey 07728","U-Pick Farm, Orchard","Apples, Cherries, Nectarines, Peaches, Pumpkins, Strawberries",,,,
Baugher’s,1015 Baugher Road,Westminster,MD,,"1015 Baugher Road, Westminster, Maryland 21158","U-Pick Farm, Orchard","Apples, Cherries, Nectarines, Peaches, Pumpkins, Strawberries",,,,
Beal Orchard & Country Store,131 NE 100 Rd,Haper,KS,,"131 NE 100 Rd, Haper, Kansas 67058","U-Pick Farm, Orchard",Peaches,,,,
Bear Mountain Blueberry Farm,8245 Clayton Road,Springville,AL,35146,"8245 Clayton Road, Springville, AL 35146","U-Pick Farm, Orchard",Blueberries,,,,
Beck Brothers Blueberries You-Pick,12500 Overstreet Rd,Windermere,FL,34786,"12500 Overstreet Rd, Windermere, FL 34786","U-Pick Farm, Orchard",Blueberries,,,,
Beck’s Farm,7620 S. Anderson Rd.,Newton,KS,,"7620 S. Anderson Rd., Newton, Kansas 67114","U-Pick Farm, Orchard",Peaches,,,,
Bee Healthy Produce,47842 271st ST,Harrisburg,SD,57032,"47842 271st ST, Harrisburg, SD 57032","Farm MarketHoney BeesU-Pick Farm, Orchard",Squash,,,,
Beechwood Farms,204 Bates Bridge Rd,Marietta,SC,,"204 Bates Bridge Rd, Marietta, South Carolina 29683","U-Pick Farm, Orchard","Strawberries, Vegetables",,,,
Bell’s Orchard,24350 SW Farmington Rd,Beaverton,OR,97007,"24350 SW Farmington Rd, Beaverton, OR 97007","Honey BeesU-Pick Farm, Orchard","Apples, Peaches, Pears",,,,
Bella Vista Berry Farm,2685 Billy's Road,Minden,NV,,"2685 Billy's Road, Minden, Nevada 89423","U-Pick Farm, Orchard","Blackberries, Raspberries",,,,
Bellevue Berry & Pumpkin Ranch,11001 S. 48th St.,Papillion,NE,,"11001 S. 48th St., Papillion, Nebraska 68133","U-Pick Farm, Orchard","Black Raspberries, Pumpkins, Raspberries, Red Raspberries, Strawberries",,,,
Bellewood Acres,,,,,,"U-Pick Farm, Orchard",Apples,,,,
Bennett Orchard,31442 Peach Tree Lane,Frankford,DE,,"31442 Peach Tree Lane, Frankford, Delaware 19945","U-Pick Farm, Orchard","Blueberries, Peaches",,,,
Berruti’s Harvest House,1098 Main Street,South Glastonbury,CT,,"1098 Main Street, South Glastonbury, Connecticut 06033","U-Pick Farm, Orchard",Apples,,,,
Berry Best Farm,26011 Hwy 62,Nabb,IN,,"26011 Hwy 62, Nabb, Indiana 47147","U-Pick Farm, Orchard",Peas,,,,
Berry Creek Farm,1021 S. Tyler Ave,Blanchard,OK,,"1021 S. Tyler Ave, Blanchard, Oklahoma 73010","U-Pick Farm, Orchard","Grapes, Peaches, Strawberries",,,,
Berry Fresh Farms,30339 K Avenue,Adel,IA,,"30339 K Avenue, Adel, Iowa 50003","U-Pick Farm, Orchard","Blackberries, Cherries, Peaches, Raspberries, Strawberries",,,,
Berry Good Farm,7637 Lancaster Pike,Hockessin,,,"7637 Lancaster Pike, Hockessin, 1006 19707","U-Pick Farm, Orchard",Blackberries,,,,
Berry Good Farms,930 William Gibbs Rd,Tifton,GA,31793,"930 William Gibbs Rd, Tifton, GA 31793","U-Pick Farm, Orchard","Apples, Asparagus, Blackberries, Blueberries, Citrus, Corn, Muscadines, Oranges, Peaches, Pecans, Peppers, Persimmons, Plums, Potatoes, Strawberries, Tomatoes",,,,
Berry Harvest Farm,12766 White Cemetery Rd,Cato,NY,13033,"12766 White Cemetery Rd, Cato, NY 13033","U-Pick Farm, Orchard","Blueberries, Grapes, Pumpkins, Strawberries",,,,
Berry Hill Farm,6510 185th Ave NW,Anoka,MN,,"6510 185th Ave NW, Anoka, Minnesota 55303","U-Pick Farm, Orchard",Strawberries,,,,
Berry Patch,420 Sams Creek Rd,Gold Hill,OR,,"420 Sams Creek Rd, Gold Hill, Oregon 97525","U-Pick Farm, Orchard","Blueberries, Raspberries",,,,
Berry Patch,22509 State Line Road,Cleveland,MO,,"22509 State Line Road, Cleveland, Missouri 64734","U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Berry Patch Farm,62785 280th Street,Nevada,IA,,"62785 280th Street, Nevada, Iowa 50201","U-Pick Farm, Orchard","Apples, Blueberries, Currants, Gooseberries, Pumpkins, Raspberries, Strawberries",,,,
Berry Patch Farms,786 Arnold Mill Road,Woodstock,GA,,"786 Arnold Mill Road, Woodstock, Georgia 30188","U-Pick Farm, Orchard","Blueberries, Pumpkins",,,,
"Berry Patch Farms, LLC",13785 Potomac St.,Brighton,CO,80601,"13785 Potomac St., Brighton, CO 80601","U-Pick Farm, Orchard","Currants, Flowers, Herbs, Raspberries, Strawberries",,,,
Berry Ranch,7998 Highway 20/26,Nampa,ID,,"7998 Highway 20/26, Nampa, Idaho 83687","U-Pick Farm, Orchard","Blackberries, Pumpkins, Raspberries, Strawberries",,,,
Berry Sweet Orchards,5110 Brown Road,Ethel,LA,,"5110 Brown Road, Ethel, Louisiana 70730","U-Pick Farm, Orchard",Blueberries,,,,
Berryfield Farm Blueberries,6424 Township Road 199,Centerburg,OH,,"6424 Township Road 199, Centerburg, Ohio 43011","U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Berryland Farms of Texas,2877 FM 1941 Rd.,Winnie,TX,,"2877 FM 1941 Rd., Winnie, Texas 77665","U-Pick Farm, Orchard","Blackberries, Blueberries, Tomatoes, Vegetables",,,,
Berryville Farm,424 13th Avenue,Racine,WI,,"424 13th Avenue, Racine, Wisconsin 53403","U-Pick Farm, Orchard",Strawberries,,,,
Betty’s Berry Farm,3887 Driskell Loop Rd,Wilmer,AL,,"3887 Driskell Loop Rd, Wilmer, Alabama 36587","U-Pick Farm, Orchard",Blueberries,,,,
Big B’s Delicious Orchards,39126 Highway 133,Hotchkiss,CO,,"39126 Highway 133, Hotchkiss, Colorado 81419","U-Pick Farm, Orchard",Apples,,,,
Big Dan’s U-Pick’em,65980 66th Ave,Harford,MI,,"65980 66th Ave, Harford, Michigan 49057","U-Pick Farm, Orchard","Apples, Peaches, Pumpkins",,,,
Big John’s Cherries,9258 Leona Ave.,Leona Valley,CA,,"9258 Leona Ave., Leona Valley, California 93551","U-Pick Farm, Orchard",Cherries,,,,
Billy Boy’s Blueberry Barn,650 Freyer Road,Michigan City,IN,,"650 Freyer Road, Michigan City, Indiana 46360","U-Pick Farm, Orchard",Blueberries,,,,
Birch Creek Ranch,29430 S Mastodon Rd,Talkeetna,AK,,"29430 S Mastodon Rd, Talkeetna, Alaska 99676","U-Pick Farm, Orchard","Currants, Raspberries, Strawberries",,,,
Biringer Farm,21412 59th Ave NE,Arlington,WA,,"21412 59th Ave NE, Arlington, Washington 98223","U-Pick Farm, Orchard","Blackberries, Raspberries, Strawberries",,,,
Bishop’s Orchards,1355 Boston Post Road,Guilford,CT,,"1355 Boston Post Road, Guilford, Connecticut 06437","U-Pick Farm, Orchard","Apples, Blueberries, Peaches, Pears, Pumpkins, Raspberries, Strawberries",,,,
Blackberry Heaven,1870 SW Santa Fe Lake Rd,Towanda,KS,,"1870 SW Santa Fe Lake Rd, Towanda, Kansas 67144","U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Blaser’s Acres,2556 School Lane,Suamico,WI,,"2556 School Lane, Suamico, Wisconsin 54313","U-Pick Farm, Orchard",Strawberries,,,,
Blok Orchard,6365 4 Mile Rd NE,Ada,MI,,"6365 4 Mile Rd NE, Ada, Michigan 49301","U-Pick Farm, Orchard","Blueberries, Cherries, Raspberries",,,4 miles,
Blu By U Blueberry Farm,5571 Long Branch Road,Jacksonville,FL,32234,"5571 Long Branch Road, Jacksonville, FL 32234","Petting ZooPicnic AreaU-Pick Farm, OrchardWedding Venue","Blueberries, Strawberries",,,,
Blue Acres Berries,7772 Howell Road,Sneads,FL,32460,"7772 Howell Road, Sneads, FL 32460","U-Pick Farm, Orchard",Blueberries,,,,
Blue Bayou Farms,,,,,,"U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Blue Dog Farm,7025 W. Snoqualmie Valley Rd,Carnation,WA,,"7025 W. Snoqualmie Valley Rd, Carnation, Washington 98014","U-Pick Farm, Orchard",Blueberries,,,,
Blue Harvest Farms,78495 Hwy 21,Bush,LA,,"78495 Hwy 21, Bush, Louisiana 70431","U-Pick Farm, Orchard",Blueberries,,,,
Blue Heaven Blueberry Farm,4810 Wildwood Lane,Springdale,AR,,"4810 Wildwood Lane, Springdale, Arkansas 72762","U-Pick Farm, Orchard",Blueberries,,,,
Blue Hills Orchard,141 Blue Hills Road,Wallingford,CT,06492,"141 Blue Hills Road, Wallingford, CT 06492","Farm MarketSchool Field TripsU-Pick Farm, Orchard",Apples,,,,
Blue Jay Orchard,17909 Rapids Rd,Hiram,OH,44234,"17909 Rapids Rd, Hiram, OH 44234","Farm MarketHoney BeesPicnic AreaSchool Field TripsU-Pick Farm, Orchard","Apples, Blueberries",,,,
Blue Shepherd Farm,3601 N Route J,Rocheport,MO,65279,"3601 N Route J, Rocheport, MO 65279","U-Pick Farm, Orchard",Blueberries,,,,
Blue Sky Farm,1180 Ashville Highway,Monticello,FL,32344,"1180 Ashville Highway, Monticello , FL 32344","U-Pick Farm, Orchard",Blueberries,,,,
Blue Tara,257 Langnecker Rd,Poplarville,MS,,"257 Langnecker Rd, Poplarville, Mississippi 39470","U-Pick Farm, Orchard",Blueberries,,,,
Blue Vista Farm,,,,,,"U-Pick Farm, Orchard",Blueberries,,,,
Blue Willow Farm,336 J Cross Road,Toney,AL,,"336 J Cross Road, Toney, Alabama 35773","U-Pick Farm, Orchard",Blueberries,,,,
BlueBela Farm,7650 NE 40th St,High Springs,FL,,"7650 NE 40th St, High Springs, Florida 32643","U-Pick Farm, Orchard",Blueberries,,,,
Blueberries of Daviess County,1401 Hill Bridge Rd,Utica,KY,,"1401 Hill Bridge Rd, Utica, Kentucky 42376","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Garden’s,5475 Crow Road,Cumming,GA,30041,"5475 Crow Road, Cumming, GA 30041","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Haven,9967 Cty Rd. XX,Bear Creek,WI,,"9967 Cty Rd. XX, Bear Creek, Wisconsin 54922","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Haven LLC,9967 Cty Rd XX,Bear Creek,WI,54922,"9967 Cty Rd XX, Bear Creek, WI 54922","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Hill Farm,231 Blueberry Hill Farm Road,Action,ME,,"231 Blueberry Hill Farm Road, Action, Maine 04001","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Hill Farm,5000 Berry Groves Road,Clermont,FL,,"5000 Berry Groves Road, Clermont, Florida 34714","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Hill Farms & Nursery,6884 Roberts Rd,Clinton,NY,13323,"6884 Roberts Rd, Clinton, NY 13323","U-Pick Farm, Orchard",Blueberries,,,,
"Blueberry Hill U-Pick, LLC",3122 White Hill Road,Sanford,NC,27330,"3122 White Hill Road, Sanford, NC 27330","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Patch,1285 W. Hanley Rd,Mansfield,OH,,"1285 W. Hanley Rd, Mansfield, Ohio 44904","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Patch,986 Crosstie Rd,Seymour,MO,,"986 Crosstie Rd, Seymour, Missouri 65746","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Patch,,,,,,"U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Ranch,54743 Buckeye Road,Mishawaka,IN,,"54743 Buckeye Road, Mishawaka, Indiana 46545","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Ridge Orchard,2795 Hageness Road,Eleva,WI,54738,"2795 Hageness Road, Eleva, WI 54738","U-Pick Farm, Orchard",Blueberries,,,,
Blueberry Springs,383 Wacissa Springs Road,Wacissa,FL,32361,"383 Wacissa Springs Road, Wacissa, FL 32361","U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Bluewater Orchard,508 Bridger Fromberg Road,Fromberg,MT,,"508 Bridger Fromberg Road, Fromberg, Montana 59029","U-Pick Farm, Orchard",Apples,,,,
Bob's Blueberry Farm,14000 Edwards Rd,Hudson,FL,34669,"14000 Edwards Rd, Hudson, FL 34669","U-Pick Farm, Orchard",Blueberries,,,,
Bob’s Berries,11501 Winn Road,Riverview,FL,33569,"11501 Winn Road, Riverview, FL 33569","U-Pick Farm, Orchard","Blackberries, Blueberries, Boysenberries, Leafy Greens, Peppers, Strawberries",,,,
Bobrook Farms,13810 Combee Lane,Roland,AR,,"13810 Combee Lane, Roland, Arkansas 72135","U-Pick Farm, Orchard","Blackberries, Blueberries, Pumpkins",,,,
Boja Farm,157 Herginrider Rd,Bridger,MT,,"157 Herginrider Rd, Bridger, Montana 59014","U-Pick Farm, Orchard",Apples,,,,
Bonny Slope Blueberries,3565 NW South Rd,Portland,OR,,"3565 NW South Rd, Portland, Oregon 97229","U-Pick Farm, Orchard",Blueberries,,,,
Boughton Farm,2256 Boughton Dr.,Akron,OH,,"2256 Boughton Dr., Akron, Ohio 44320","U-Pick Farm, Orchard","Strawberries, Vegetables",,,,
Bow Hill Blueberries,15628 Bow Hill Road,Bow,,,"15628 Bow Hill Road, Bow, 1045 98232","U-Pick Farm, Orchard",Blueberries,,,,
Bowerman Blueberry,15793 James Street,Holland,MI,,"15793 James Street, Holland, Michigan 49424","U-Pick Farm, Orchard",Blueberries,,,,
Bowman Orchards,,,,,,"U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Cherries, Raspberries, Strawberries",,,,
Boyd Family Farm,125 East Dover Road,Wilmington,VT,,"125 East Dover Road, Wilmington, Vermont 05363","U-Pick Farm, Orchard","Blueberries, Raspberries",,,,
Brad’s Blueberries,3108 Old Hwy. 421 E.,Yadkinville,NC,27005,"3108 Old Hwy. 421 E., Yadkinville, NC 27005","U-Pick Farm, Orchard","Blueberries, Muscadines",,,,
Brad’s Organic Blueberries,7450 NE 135th Street,Bronson,FL,32621,"7450 NE 135th Street, Bronson, FL 32621","U-Pick Farm, Orchard",Blueberries,,,,
Brad’s Produce,550 Asbury Road,Churchville,MD,,"550 Asbury Road, Churchville, Maryland 21028","U-Pick Farm, Orchard",Strawberries,,,,
Bradbury Family Farms,14014 N 172 Ave,Surprise,AZ,,"14014 N 172 Ave, Surprise, Arizona 85388","U-Pick Farm, Orchard",Citrus,,,,
Braeutigam Orchards,,,,,,"U-Pick Farm, Orchard","Apples, Blackberries, Peaches",,,,
Bramble Creek Farms,23031 Hayman Road,Brooksville,FL,34602,"23031 Hayman Road, Brooksville, FL 34602","Picnic AreaU-Pick Farm, Orchard",Blackberries,,,,
Brandywine Farm,13370 County Road 7160,Rolla,MO,,"13370 County Road 7160, Rolla, Missouri 65401","U-Pick Farm, Orchard",Blueberries,,,,
Branstool Orchards,5895 Johnstown Utica Rd NE,Utica,OH,,"5895 Johnstown Utica Rd NE, Utica, Ohio 43080","U-Pick Farm, Orchard","Apples, Peaches",,,,
Brehmer’s U-Pick Strawberries,5805 Clover Road,Hartford,WI,,"5805 Clover Road, Hartford, Wisconsin 53027","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Brenda’s Berries & Orchards,10331 SW 95th St,Chetopa,KS,,"10331 SW 95th St, Chetopa, Kansas 67336","U-Pick Farm, Orchard",Raspberries,,,,
Brick House Acres – Garden Center & Berry Farm,10628 Roberts Rd,Frankfort,NY,13340,"10628 Roberts Rd, Frankfort, NY 13340","U-Pick Farm, Orchard","Blackberries, Blueberries, Flowers, Raspberries",,,,
Brittingham’s Produce,16001 Harbeson Rd,Milton,DE,,"16001 Harbeson Rd, Milton, Delaware 19968","U-Pick Farm, Orchard","Collard, Kale, Turnip Greens",,,,
Brookford Farm,250 West Road,Canterbury,NH,03224,"250 West Road, Canterbury, NH 03224","Corn MazeCSA/Co-opFestivalPicnic AreaSchool Field TripsU-Pick Farm, Orchard",Raspberries,,,,
Brooksby Farm,54 Felton St,Peabody,MA,,"54 Felton St, Peabody, Massachusetts 01960","U-Pick Farm, Orchard","Apples, Blueberries, Peaches, Raspberries, Strawberries",,,,
Brookside Farms,37988 Co Rd 388,Gobles,MI,,"37988 Co Rd 388, Gobles, Michigan 49055","U-Pick Farm, Orchard",Blueberries,,,,
Brooksville Ridge Blueberries,2050 Batten Road,Brooksville,FL,33548,"2050 Batten Road, Brooksville, FL 33548","U-Pick Farm, Orchard",Blueberries,,,,
Brossman’s Farm,14740 James Monroe Hwy,Leesburg,VA,,"14740 James Monroe Hwy, Leesburg, Virginia 20176","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Brown’s Orchards & Farm Market,8773 Yellow Church Rd,Seven Valleys,PA,17360,"8773 Yellow Church Rd, Seven Valleys, PA 17360","U-Pick Farm, Orchard","Apples, Black Raspberries, Blueberries, Cherries, Peaches, Pumpkins, Raspberries, Red Raspberries, Sour Cherries, Strawberries",,,,
Brownlee Farms,314 Skating Rink Road,Red Banks,MS,,"314 Skating Rink Road, Red Banks, Mississippi 38661","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Bryant Blueberry Farm,5628 Grandview Road,Arlington,WA,,"5628 Grandview Road, Arlington, Washington 98223","U-Pick Farm, Orchard",Blueberries,,,,
Bryant’s Blueberries,6900 Oak Park Rd NE,New Salisbury,,,"6900 Oak Park Rd NE, New Salisbury, 1012 47161","U-Pick Farm, Orchard",Blueberries,,,,
Buckeye Acres,91 NE 600th Rd,Warrensburg,MO,,"91 NE 600th Rd, Warrensburg, Missouri 64093","U-Pick Farm, Orchard","Blackberries, Strawberries",,,,
Buckley U-Pick Cherries,2950 Leavesley Rd,Gilroy,CA,,"2950 Leavesley Rd, Gilroy, California 95020","U-Pick Farm, Orchard",Cherries,,,,
Buffalo Creek Berry Farm LLC,9211 Sloan Rd,Mustang,OK,73064,"9211 Sloan Rd, Mustang, OK 73064","U-Pick Farm, Orchard","Beans, Blackberries, Carrots, Cucumbers, Garlic, Green Beans, Melons, Peas, Plums, Potatoes, Raspberries, Squash, Strawberries, Tomatoes, Vegetables",,,,
Burkhart’s Blueberries,780 Poor House Rd,Martinsburg,VA,,"780 Poor House Rd, Martinsburg, West Virginia 25403","U-Pick Farm, Orchard",Blueberries,,,,
Burr Oak Farm,1121 220th Street,Winterset,IA,,"1121 220th Street, Winterset, Iowa 50273","U-Pick Farm, Orchard","Apples, Apricots, Blackberries, Cherries, Grapes, Nectarines, Peaches, Pears, Plums",,,,
Burr’s Berry Farm,12741 SW 216th St,Miami,FL,,"12741 SW 216th St, Miami, Florida 33170","U-Pick Farm, Orchard",Strawberries,,,,
Burris Farms U-Pick,8920 Highway 4 West,Senatobia,MS,,"8920 Highway 4 West, Senatobia, Mississippi 38668","U-Pick Farm, Orchard","Blackberries, Blueberries, Muscadines",,,,
